,MSE,MAPE,RMSE,n_parameters
Single Layer (50),8.447632082529415,0.08809124130826497,2.9028412334681812,552.0
Single Layer (100),9.3583642981466,0.090498604139745,3.056122498546036,1102.0
"Two Layers (50, 25)",10.972793548365068,0.10141242189284586,3.3118537657537055,1777.0
"Two Layers (100, 50)",1.8323258675667617,0.03548179479423645,1.290725549884721,6052.0
"Three Layers (100, 50, 25)",1.312992962509819,0.033429846461492774,1.11585889098607,7277.0
"Deep Network (100, 75, 50, 25)",1.7170964417993977,0.035595867204537515,1.272555749919913,13602.0
