Complexity,Loss,Equation
1,4.079863,"3.5872416"
3,2.1712482,"x4 * 0.54376644"
4,0.84797734,"exp(sqrt(sqrt(x4)))"
5,0.7232856,"1.7218552 - (x4 * -0.37038282)"
6,0.66372967,"log(x2 - (x4 * -22.98641))"
7,0.62165654,"log(x4 / sqrt(x0)) + 4.048336"
8,0.33560553,"log(x4 / (x4 + x7)) + 5.6811867"
11,0.30219972,"(x7 / ((x7 + (x4 * 8.669512)) / -4.9513516)) + 5.7054777"
13,0.21839452,"(x7 / ((((x2 + x5) * x4) + x7) / -4.9460917)) + 5.7300954"
15,0.14797176,"(x7 / ((x7 + (x4 * ((x5 / x0) + x0))) / -4.959184)) + 5.825815"
