Model,Y1_MSE,Y2_MSE,Avg_MSE,Y1_MAPE,Y2_MAPE,Avg_MAPE
Linear Regressor,1.411543354826523e-06,6.258714235588527e-07,1.0187073891926878e-06,0.020894488359660304,0.014472845423804429,0.017683666891732366
MLP Regressor,0.014348630663112314,0.014824814346824988,0.01458672250496865,1.5619152171588686,1.9273009332467637,1.7446080752028161
GP Regressor,1.4212034019868863e-06,6.421919952277516e-07,1.031697698607319e-06,0.020769780357788547,0.014678233682791914,0.01772400702029023
MultiOutput Regressor,0.4235715342711741,0.7659520605515595,0.5947617974113668,11.927912702355691,17.23938685486693,14.58364977861131
SGD Regressor,1.5434371065976817e+18,5.805809388513613e+19,2.9800765495866905e+19,24465577495.996597,154500148496.4466,89482862996.22159
