Model,Y1_MSE,Y2_MSE,Avg_MSE,Y1_MAPE,Y2_MAPE,Avg_MAPE
Linear Regressor,2.3889284878749404,2.2018597216927533,2.295394104783847,125.16968856308725,123.48469181383565,124.32719018846146
MLP Regressor,2.35773626575614,2.1479793229746464,2.252857794365393,126.57422661405305,124.48904168425268,125.53163414915286
GP Regressor,2.3639128209790936,2.2516512656050063,2.30778204329205,121.34138788060547,120.80716157730016,121.07427472895282
MultiOutput Regressor,2.4547462355313323,2.3188884660222615,2.3868173507767967,122.85796168202225,126.70486509775156,124.78141338988691
SGD Regressor,2.413088019860847,2.1958476252611008,2.304467822560974,126.54844912297875,122.47801352333568,124.51323132315721
