Complexity,Loss,Equation
1,6.1561337,"3.7197104"
2,5.4239235,"abs(x0)"
3,2.0801308,"x4 * 0.59840816"
4,1.0883499,"log(x4 * 41.235466)"
5,1.0858136,"(x4 + 3.1091924) * 0.4563437"
6,0.86058813,"0.46777117 * (x4 + sqrt(x6))"
7,0.5703212,"abs(log(x4 * (x6 * 8.628862)))"
9,0.4454707,"abs(log((x4 * (x1 + x2)) * x6))"
11,0.39547372,"abs(log(x4 * (((x2 + x1) * x6) - -0.999158)))"
13,0.37096083,"abs(log(((x6 * (x2 + x2)) * x4) - (x0 * -0.6313362)))"
15,0.34620568,"abs(log((x6 * (x4 * (x2 + 3.264157))) - ((x0 * -0.2334713) + 0.11231434)))"
