,MSE,MAPE,RMSE
Random Forest,1.6236137124574974,0.024861102908230175,1.1129973801308073
Gradient Boosting,0.6981339176737342,0.019254197976014444,0.7737552919757337
Linear Regression,9.509504535625506,0.0934125198088454,3.0831477938643297
Ridge Regression,9.526057513732628,0.09379167301709836,3.085857514835439
Lasso Regression,9.74443826007416,0.09716722873869237,3.121199547641834
