Complexity,Loss,Equation
1,186.3689,"117.63267"
3,8.656426,"x1 * 0.17475133"
5,4.932764,"(x1 * 0.15301813) + 14.849087"
12,1.4130572,"(sqrt(sqrt(x3)) * ((sqrt(x2) * 1.9649626) - -20.140322)) + -81.85757"
14,0.013066377,"((sqrt(sqrt(x3)) * ((sqrt(x2) * 0.0003455072) - 0.021957658)) + 0.23280111) * x1"
