Complexity,Loss,Equation
1,3.027879,"3.0857084"
2,2.0441897,"sqrt(x4)"
3,1.0680476,"x4 * 0.47888222"
4,0.19326808,"sqrt(exp(sqrt(x4)))"
5,0.1654091,"(x4 + 3.9696062) * 0.34208772"
7,0.10619261,"sqrt((x4 + sqrt(x6)) + x4)"
8,0.10164649,"sqrt(x4 + ((x6 / 3.0633082) + x4))"
9,0.09016127,"sqrt(x4 + ((sqrt(x6) + x4) - 0.4701589))"
10,0.054281894,"log((x4 * x4) + ((x2 + x6) / 2.0523858))"
11,0.048387226,"log(((x6 / 2.18428) + (x4 * x4)) + sqrt(x2))"
12,0.045001954,"log(x4 + ((x4 * x4) + ((x2 + x6) / 2.1702752)))"
13,0.040989984,"log(((x4 * x4) * 1.1452497) + (sqrt(x2) + (x6 / 2.2439568)))"
15,0.03903835,"log(((((x4 * x4) + sqrt(x2)) * 1.1448463) + (x6 / 2.2459667)) + -0.23158093)"
