Complexity,Loss,Equation
1,4.83981,"x0"
2,4.6416984,"sqrt(x4)"
3,0.96315694,"x4 * 0.5973377"
4,0.4297204,"exp(x4 * 0.17784026)"
5,0.42591825,"(x4 + 2.1168156) * 0.49179444"
6,0.33968022,"(sqrt(x1) + x4) * 0.512808"
7,0.3013461,"(x1 + (x4 * 3.9677985)) * 0.1394815"
8,0.29536715,"(x4 * 0.54221326) + (sqrt(x1) * 0.40609708)"
9,0.17931843,"(x4 / (1.0806471 - (x0 / -6.6173434))) + 1.0048957"
11,0.10080678,"(x4 / (1.3508866 - (x0 / (-3.87447 - x6)))) - -1.0289049"
12,0.077259175,"abs((1.2945687 - x4) / (0.9570349 - (x0 / (-7.0660872 - x6))))"
14,0.0762134,"abs(((1.1212401 - x4) / (0.9644525 - (x0 / (-7.490819 - x6)))) - -0.15874931)"
