,MSE,MAPE,RMSE,n_parameters
Single Layer (50),5.830185766643606,0.06989314725323072,2.4051691373305086,552.0
Single Layer (100),7.509736180112942,0.07360169692197058,2.735163308357757,1102.0
"Two Layers (50, 25)",9.386441688699488,0.09279007632266004,3.061854523674138,1777.0
"Two Layers (100, 50)",1.3597394768131705,0.03522693327352027,1.1337997768430175,6052.0
"Three Layers (100, 50, 25)",1.5281457149248387,0.03719044434372629,1.1421177029834568,7277.0
"Deep Network (100, 75, 50, 25)",1.4999298513773147,0.028372174355562912,1.111373404241923,13602.0
