Model,Y1_MSE,Y2_MSE,Avg_MSE,Y1_MAPE,Y2_MAPE,Avg_MAPE
Linear Regressor,14386.561906183748,8667.20042145706,11526.881163820404,389.17434949696843,330.45765547776523,359.81600248736686
GP Regressor,15272.783087115977,8689.835813617163,11981.30945036657,384.49698462168874,326.69653727825687,355.5967609499728
MLP Regressor,14904.421753548202,8567.80573137163,11736.113742459916,377.06207557442474,331.2175450734998,354.13981032396225
MultiOutput Regressor,15178.968032320552,8416.90130019462,11797.934666257586,558.9948536655272,334.51258462991774,446.75371914772245
SGD Regressor,14376.059825206348,8618.492450624428,11497.276137915389,386.7052697023593,332.84662129119226,359.77594549677576
