,target_0_MSE,target_0_MAPE,target_1_MSE,target_1_MAPE
Linear Regressor,14386.561906183748,389.17434949696843,8667.20042145706,330.45765547776523
GP Regressor,15272.783087115977,384.49698462168874,8689.835813617163,326.69653727825687
MLP Regressor,14904.421753548202,377.06207557442474,8567.80573137163,331.2175450734998
MultiOutput Regressor,15178.968032320552,558.9948536655272,8416.90130019462,334.51258462991774
SGD Regressor,14376.059825206348,386.7052697023593,8618.492450624428,332.84662129119226
