Complexity,Loss,Equation
1,5.3298025,"x0"
3,2.5759466,"x4 * 0.6690871"
4,1.3694929,"abs(x4 - 2.6495454)"
5,0.91985154,"(x4 * 0.4836212) + 1.839111"
6,0.6584085,"sqrt(x6) + (x4 * 0.4342461)"
7,0.5474369,"sqrt(x4 * sqrt(x6)) + 1.6617894"
8,0.33340582,"sqrt(x4 * sqrt(x6)) + sqrt(x2)"
10,0.2740375,"sqrt((x4 - -0.7853655) * (sqrt(x6) + sqrt(x2)))"
11,0.21910758,"(x2 * 0.21511024) + (sqrt(x4 * sqrt(x6)) - -0.75905716)"
13,0.20677753,"(x2 * 0.20890437) + ((sqrt(x4 * sqrt(x6)) - -0.66552204) / 0.9621514)"
14,0.20665331,"sqrt(((sqrt(x6) + sqrt(x2)) * (x4 - -0.7853655)) - (1.3028327 / x3))"
15,0.18470824,"(x2 * 0.22802608) + (sqrt(((x4 + 0.8982613) * sqrt(x6)) + x4) - 0.4143573)"
16,0.18470126,"(x2 * 0.22802608) + (sqrt((sqrt(x6) * (x4 + sqrt(0.7720361))) + x4) - 0.4143573)"
17,0.17660272,"((x2 * 0.20133257) + (sqrt(x4 + ((x4 + 0.8921603) * sqrt(x6))) - 0.4151618)) / 0.9639325"
19,0.17370005,"(((sqrt(x4 + ((x4 + 1.2964736) * sqrt(x6))) - x2) + (x2 * 1.2019229)) / 0.9241207) + -0.84939724"
20,0.17324686,"abs((((sqrt(x4 + ((x4 + 1.2964736) * sqrt(x6))) - x2) + (x2 * 1.2019229)) / 0.9241207) + -0.84939724)"
