,target_1_MSE,target_1_MAPE,target_2_MSE,target_2_MAPE
Linear Regressor,2.426721336692041,6.381930688400785,1.776868650441532,4.760635324319913
GP Regressor,0.5554753390239429,2.950334633417668,0.2617398260598322,1.746892689014224
MLP Regressor,11.773918138950537,13.656455601033024,10.333626527398017,10.578577140700608
MultiOutput Regressor,0.313665078130844,1.6338005730033804,0.4307021287094717,1.8450615407790785
SGD Regressor,2.865665808567209e+24,7586733852367.259,8.54038093910149e+24,10946565086536.639
