Model,Y1_MSE,Y2_MSE,Avg_MSE,Y1_MAPE,Y2_MAPE,Avg_MAPE
Linear Regressor,79.13073083884592,67.95018353057183,73.54045718470888,42.89279567396158,33.10954816560727,38.001171919784426
GP Regressor,88.61681858503097,69.93059935121707,79.27370896812403,45.89509205694684,33.6274994018069,39.76129572937687
MLP Regressor,81.11874282704211,70.10459758711937,75.61167020708075,44.825032672447755,33.72700225755177,39.27601746499976
MultiOutput Regressor,87.9466366645806,76.02030975859675,81.98347321158867,46.6270258035867,35.392574477586045,41.00980014058637
SGD Regressor,6.158246859470961e+21,7.002262710566062e+21,6.580254785018511e+21,349910721290.34717,307069336099.03973,328490028694.6935
