Complexity,Loss,Equation
1,5.3167562,"x0"
2,4.54957,"sqrt(x4)"
3,1.3780469,"x4 / 1.7288847"
4,0.82595724,"log(x4 * 31.244188)"
6,0.76159817,"log(x4 * (x6 + 26.640461))"
7,0.5261325,"sqrt((x6 + x2) * sqrt(x4))"
8,0.42640746,"sqrt((x4 * 0.31964377) * (x2 + x6))"
9,0.29695702,"sqrt(sqrt(x4 - 0.08701325) * (x2 + x6))"
10,0.24601923,"sqrt((x4 * ((x2 + x6) * 0.30829278)) - -0.9196524)"
12,0.24027735,"sqrt(((x6 + x2) * ((x4 * x4) * 0.030398391)) - -1.217941)"
