Complexity,Loss,Equation
1,5.0973687,"x0"
3,1.4554392,"x4 * 0.6083668"
4,0.71790034,"log(x4 * 39.370594)"
5,0.7110903,"(x4 * 0.47624165) - -1.2741302"
6,0.51459193,"0.4730562 * (x4 + sqrt(x6))"
7,0.2964401,"sqrt((x6 + x2) * sqrt(x4))"
9,0.21733199,"sqrt((x6 + x2) * sqrt(x4 + -0.06659945))"
10,0.10561255,"sqrt(sqrt((x2 * sqrt(x6)) * x4)) * 1.8916812"
12,0.040535938,"(sqrt(sqrt((sqrt(x6) * x2) * x4)) * 2.072949) - 0.50540155"
13,0.040517114,"abs(0.50540155 - (sqrt(sqrt((sqrt(x6) * x2) * x4)) * 2.072949))"
15,0.040501583,"abs(0.50540155 - (sqrt(sqrt((sqrt(x6 - -0.0015582563) * x4) * x2)) * 2.072949))"
